candidate,margin_mae,margin_rmse,margin_bias,margin_fav_tail_bias,total_mae,total_bias,winner_log_loss,winner_brier,wk1_margin_mae,wk1_total_mae,wk4p_margin_mae,wk4p_total_mae,m_mae_2017,t_mae_2017,m_mae_2018,t_mae_2018,m_mae_2019,t_mae_2019,m_mae_2021,t_mae_2021,m_mae_2022,t_mae_2022,m_mae_2023,t_mae_2023,m_mae_2024,t_mae_2024,m_mae_2025,t_mae_2025,runtime_s
zero,16.2324,20.731,-0.2453,,14.0985,1.9329,0.67939,0.24315,18.8413,13.9185,15.7755,14.1707,16.9022,15.0825,16.8635,14.7674,17.127,14.0553,16.3322,13.5781,15.3059,14.1923,15.7752,14.0513,15.7055,13.4798,15.892,13.6185,0.2
market_close,12.1883,15.4533,-0.0743,-0.2305,12.7675,-0.2891,0.54751,0.18534,12.141,12.6709,12.1133,12.7652,12.1823,13.7062,12.6214,12.9242,12.1576,12.8259,12.5383,12.574,12.0193,12.0631,12.1215,12.7775,12.0677,12.7387,11.8227,12.5396,0.2
elo_ridge,13.1233,16.5724,-0.2356,-0.9838,,,0.54908,0.18604,14.6535,,12.7795,,13.3732,,13.3534,,12.946,,13.398,,12.9791,,12.9543,,13.2325,,12.7674,,0.2
struct_ridge,13.3365,16.8272,-0.1942,-1.3955,,,0.55791,0.18983,14.7063,,13.0421,,13.7418,,13.5509,,13.2334,,13.7186,,13.0893,,13.1198,,13.4054,,12.8591,,0.3
struct_pre_ridge,12.7761,16.1778,-0.2267,-0.0011,,,0.53896,0.18226,12.3992,,12.6787,,13.0381,,13.1342,,12.6258,,13.2681,,12.4684,,12.4954,,12.8207,,12.3839,,0.5
eff_ridge,13.3519,16.7988,-0.3419,0.3902,,,0.55954,0.19063,14.2576,,13.0991,,13.9733,,13.594,,13.1264,,13.625,,13.0492,,13.1038,,13.4524,,12.9141,,0.4
eff_pre_ridge,12.8333,16.1837,-0.1384,0.8291,,,0.53966,0.1827,12.4392,,12.7135,,13.162,,13.2274,,12.6417,,13.2645,,12.4872,,12.4904,,12.8422,,12.5734,,0.7
eff_pre_sit_ridge,12.8467,16.2024,-0.0255,0.8543,,,0.5406,0.18303,12.4628,,12.7241,,13.2233,,13.2135,,12.6925,,13.2387,,12.5381,,12.4776,,12.843,,12.5706,,0.7
full_ridge,12.872,16.2404,0.2119,1.2687,,,0.54139,0.18338,12.5778,,12.7407,,13.3882,,13.2559,,12.7346,,13.2387,,12.5214,,12.4328,,12.8712,,12.5592,,5.6
full_elo_ridge,12.7794,16.1204,0.2127,1.2822,,,0.53766,0.18189,12.4769,,12.6536,,13.2953,,13.1712,,12.6394,,13.0937,,12.5423,,12.3745,,12.7386,,12.4089,,5.7
eff_pre_lgbm,13.0219,16.3847,-0.1955,-0.4783,,,0.54643,0.18522,12.5516,,12.906,,13.4568,,13.4312,,12.9457,,13.374,,12.6583,,12.5622,,13.0143,,12.7579,,9.0
full_lgbm,13.0384,16.4085,-0.1162,-0.6979,,,0.54753,0.18563,12.7105,,12.9123,,13.5118,,13.3616,,12.9794,,13.4062,,12.7557,,12.4942,,13.0236,,12.8004,,18.4
full_lgbm_l1,13.005,16.4097,-0.0277,-1.4121,,,0.54866,0.18604,12.6777,,12.887,,13.5671,,13.298,,12.972,,13.3155,,12.6048,,12.4539,,13.0657,,12.786,,27.5
full_elo_lgbm,12.8741,16.2275,-0.1039,-0.442,,,0.54093,0.183,12.8088,,12.7146,,13.3528,,13.1543,,12.8094,,13.1302,,12.6555,,12.446,,12.8902,,12.5782,,19.3
points_full_ridge,12.9074,16.2581,0.4461,1.6078,13.3254,0.9143,0.54238,0.18379,12.6377,13.3455,12.7793,13.3493,13.3882,14.7058,13.2559,13.7122,12.7346,13.1141,13.2387,13.2057,12.6148,12.8243,12.4853,13.1066,12.8877,13.0754,12.6766,12.8892,6.2
points_full_lgbm,13.0999,16.4714,-0.0991,-0.9901,13.3821,1.5359,0.5495,0.18645,13.05,13.2627,12.9574,13.3971,13.5929,14.4999,13.3774,13.6967,13.1204,13.3555,13.4723,13.1081,12.8385,13.174,12.6819,13.1984,13.064,12.9213,12.6832,13.1298,30.7
tot_struct_ridge,,,,,13.2984,1.1255,,,,13.2324,,13.3203,,14.4116,,13.6817,,13.1947,,13.0828,,13.0407,,13.2709,,12.8654,,12.8696,0.2
tot_eff_ridge,,,,,13.3052,0.7502,,,,13.1742,,13.3432,,14.6896,,13.5579,,13.0753,,13.0425,,12.9875,,13.2675,,12.9915,,12.8571,1.5
tot_eff_pre_ridge,,,,,13.361,0.9477,,,,13.3894,,13.3762,,14.7036,,13.9468,,13.0752,,13.2448,,12.833,,13.1591,,13.1275,,12.8321,3.1
tot_full_ridge,,,,,13.3527,0.7451,,,,13.3576,,13.3885,,14.7058,,13.7122,,13.1141,,13.2057,,12.7845,,13.127,,13.3085,,12.8892,5.8
tot_full_lgbm,,,,,13.3113,1.4026,,,,13.3082,,13.3459,,14.2971,,13.6792,,13.1723,,13.1808,,13.0922,,13.3168,,12.8409,,12.9403,15.8
tot_eff_lgbm,,,,,13.3361,1.4142,,,,13.2503,,13.3617,,14.3451,,13.6501,,13.216,,13.1302,,13.2371,,13.4337,,12.7867,,12.9203,5.3
win_full_logit,,,,,,,0.54476,0.18462,,,,,,,,,,,,,,,,,,,,,33.6
win_full_lgbm,,,,,,,0.5526,0.18712,,,,,,,,,,,,,,,,,,,,,148.5
