segment,n,0.5.0 mMAE,0.5.0 bias,V2 mMAE,V2 bias,V2+selfcorr mMAE,V2+selfcorr bias,CLOSE mMAE,CLOSE bias,OPEN mMAE,OPEN bias,0.5.0 tMAE,V2 tMAE,V2+sc tMAE,CLOSE tMAE,0.5.0 LL,V2 LL,V2+sc LL,CLOSE LL
common 2021-25 (all),3675,14.066,-1.1,12.514,-0.25,12.488,-0.2,12.115,-0.11,12.216,-0.01,13.246,12.784,12.814,12.499,0.606,0.5357,0.534,0.5392
week_1,238,15.957,-6.41,12.763,-1.21,12.751,-1.29,12.171,-0.73,12.129,-0.82,13.592,13.257,13.288,12.817,0.5717,0.4787,0.4797,0.4926
weeks_1_3,724,15.407,-3.65,12.713,-0.54,12.738,-0.5,12.212,-0.18,12.262,-0.27,12.959,12.599,12.625,12.45,0.5701,0.4848,0.4835,0.5027
weeks_4_plus,2951,13.736,-0.48,12.465,-0.18,12.427,-0.12,12.091,-0.1,12.205,0.06,13.316,12.829,12.861,12.511,0.6148,0.5482,0.5464,0.5476
postseason,0,,,,,,,,,,,,,,,,,,
neutral,118,13.782,-1.51,11.781,1.09,11.773,1.06,12.311,-0.2,12.439,0.48,14.298,13.192,13.205,12.269,0.6032,0.5474,0.5493,0.567
favorites>=10,1625,15.252,-3.52,12.763,-0.43,12.732,-0.33,12.369,-0.03,12.498,-0.09,12.741,12.332,12.338,12.054,0.4836,0.368,0.3656,0.3825
|V2-close|>=7,349,15.583,-1.35,14.247,0.13,13.924,0.24,12.304,0.44,12.392,0.43,13.781,13.015,12.951,12.696,0.6407,0.5861,0.576,0.5418
coach_change,1671,14.497,-1.15,12.765,-0.37,12.731,-0.33,12.293,-0.21,12.369,-0.17,13.412,12.899,12.915,12.575,0.6012,0.5205,0.518,0.5264
lame-duck,24,11.581,2.98,10.246,0.29,9.859,0.36,9.344,0.14,9.698,0.39,12.824,13.397,13.398,12.865,0.4863,0.4,0.4002,0.4608
academy,150,14.112,0.96,13.97,2.02,13.83,2.07,12.755,1.4,13.213,1.6,15.275,14.392,14.437,13.507,0.6577,0.6328,0.6238,0.603
QB change last game,1238,13.904,0.15,12.473,0.57,12.453,0.67,12.238,0.51,12.301,0.64,13.765,13.322,13.364,12.814,0.6139,0.5367,0.536,0.5455
